ID;date;device;type;os;category;superCategory;time_spent;frequency
hwyr5z1l;2023-04-26 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;840;15
hwyr5z1l;2023-04-26 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;540;23
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;2040;17
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Video;Entertainment;1140;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;720;18
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Research;Study / Work ICT;300;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Mobility;Other;420;17
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;300;22
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;180;9
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;180;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Sport;Other;180;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Navigation;Other;120;2
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;120;8
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;120;2
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Social Media;Social Media;120;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Food;Other;60;5
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;website;ios;News;Entertainment;360;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;website;ios;Web Browser / Search Machine ;Other;180;1
hwyr5z1l;2023-04-27 00:00:00+00:00;phone;website;ios;Social Media;Social Media;60;1
hwyr5z1l;2023-04-27 00:00:00+00:00;tablet;app;ios;Study / Learning;Study / Work ICT;10380;5
hwyr5z1l;2023-04-27 00:00:00+00:00;tablet;app;ios;Study / Learning;Study / Work ICT;4620;1
hwyr5z1l;2023-04-27 00:00:00+00:00;tablet;app;ios;Web Browser / Search Machine ;Other;180;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Video;Entertainment;2520;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;2580;16
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;960;9
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;900;13
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Sport;Other;660;21
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;News;Entertainment;540;20
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;480;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;420;14
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Social Media;Social Media;360;6
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Mobility;Other;300;14
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;240;7
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;180;3
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;120;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Sport;Other;120;3
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Social Media;Social Media;120;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Photos;Entertainment;120;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;System;Other;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Sport;Other;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;System;Other;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Study / Learning;Study / Work ICT;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;System;Other;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Sport;Other;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;60;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;website;ios;Delivery;Other;420;1
hwyr5z1l;2023-04-28 00:00:00+00:00;phone;website;ios;Shopping ;Entertainment;360;1
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Video;Entertainment;4020;
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;2400;13
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;960;24
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;900;24
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Mobility;Other;360;14
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;300;10
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Research;Study / Work ICT;300;1
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Social Media;Social Media;240;1
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Study / Learning;Study / Work ICT;180;1
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;180;9
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;System;Other;120;1
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Social Media;Social Media;120;3
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Social Media;Social Media;120;1
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Sport;Other;120;3
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;60;4
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Photos;Entertainment;60;4
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Sport;Other;60;1
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;app;ios;Food;Other;240;12
hwyr5z1l;2023-04-29 00:00:00+00:00;phone;website;ios;News;Entertainment;420;1
hwyr5z1l;2023-04-29 00:00:00+00:00;tablet;app;ios;Video;Entertainment;2820;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Video;Entertainment;5940;4
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Web Browser / Search Machine ;Other;4200;21
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;2340;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;660;9
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Messenger;Communication ICT;540;11
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Music / Audio;Entertainment;480;30
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;420;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Research;Study / Work ICT;420;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Sport;Other;300;6
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Shopping ;Entertainment;240;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;System;Other;240;3
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;News;Entertainment;60;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Health / Wellbeing;Other;60;1
hwyr5z1l;2023-04-30 00:00:00+00:00;phone;app;ios;Mail;Communication ICT;60;2
