date;SUM_Smartphone_Screen_Time;SUM_Tablet_Screen_Time;SUM_Total_Screen_Time;SP_Communication.ICT;SP_Entertainment;SP_Other;SP_Study...Work.ICT;SP_Social.Media;T_Communication.ICT;T_Entertainment;T_Other;T_Study...Work.ICT;T_Social.Media;M_Time_to_Bed;Sleep_M_Time_Asleep;Sleep_M_Time_Awake;Sleep_M_Time_Got_U;MO_Engagement;MO_Resource_Depletion;MO_Time_to_get_asleep;MO_sleep_time;MO_time_to_get_up;MO_Activity_planned_todo_Morning;MO_type_of_Activity_planned_Morning;MO_Cognitive_Well_Being;MO_Affective_Well_Being_Positive;MO_Affective_Well_Being_Negative;MO_Anger_Anxiety;MO_Sleep_Quality_Insomnia
27.06.23;960;8100;9060;360;60;480;0;60;0;1980;0;6120;0;23:00;23:15;06:00;06:35;3;5;15;405;35;2;2;4;1.75;5.75;1.75;2.75
28.06.23;1020;2760;3780;300;180;420;0;120;0;0;0;2760;0;22:45;23:00;05:30;06:15;5;2;15;390;45;2;2;6;4.25;7;1;3.25
29.06.23;1080;12065;13145;600;120;360;0;0;720;2880;180;8280;0;23:15;23:30;06:00;06:10;5;1;15;390;10;2;2;6;3.75;6.75;1.25;1.5
30.06.23;840;13020;13860;300;180;300;0;60;0;600;12060;360;0;23:00;23:15;06:15;06:30;6;2;15;420;15;2;2;6;4.75;7;1;2.5
01.07.23;1020;14948;15968;480;60;480;0;0;7320;1320;600;5700;0;01:00;01:05;07:40;07:45;5;1;5;395;5;2;2;6;4.25;6.25;1.75;3
02.07.23;960;5162;6122;180;60;720;0;0;120;2340;300;2400;0;00:30;00:45;08:20;09:00;5;3;15;455;40;2;2;5.333333333;2.75;6.5;1.25;3.5
03.07.23;900;1980;2880;120;120;600;60;0;0;540;0;1440;0;02:30;02:45;06:25;06:40;4;6;15;220;15;1;1;5.333333333;2.75;7;1;1.5
04.07.23;5220;0;5220;2340;1560;1200;120;0;0;0;0;0;0;23:50;00:00;06:35;07:00;4;5;10;395;25;1;1;5.333333333;2.75;6.25;1.75;2
05.07.23;4920;0;4920;2640;540;1560;120;60;0;0;0;0;0;01:45;01:50;08:00;08:15;3;7;5;370;15;1;1;5.333333333;3.25;7;1.25;1
06.07.23;3840;5760;9600;2160;840;840;0;0;0;1140;0;4620;0;23:20;23:30;07:00;07:30;4;4;10;450;30;1;1;5;2;7;1;4.75
07.07.23;1980;13864;15844;1020;360;420;0;180;300;4680;3780;5100;0;01:45;02:00;06:15;06:25;3;6;15;255;10;1;1;5;1.75;5.25;2;1.25
08.07.23;3120;0;3120;900;480;1740;0;0;0;0;0;0;0;23:30;23:40;06:30;07:30;5;4;10;410;60;1;1;5.333333333;3.75;7;1.25;3.75
09.07.23;2640;0;2640;1140;480;1020;0;0;0;0;0;0;0;00:00;00:20;09:55;10:00;5;1;20;575;5;1;1;5;3;7;1;2.75
