ID,date,device,type,os,name,category,superCategory,time_spent,frequency
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,website,ios,dinnerly.de,Food,Other,660,1
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,website,ios,google.de,Web Browser / Search Machine ,Other,540,1
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,website,ios,sevenheavens.de,Shopping ,Entertainment,600,1
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,website,ios,golem.de,News,Entertainment,240,1
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,3480,21
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,1680,1
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,1080,14
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,840,15
hwyr5z1l,2023-04-26 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,540,23
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,2040,17
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,1140,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,720,18
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Wikipedia,Research,Study / Work ICT,300,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,420,17
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,300,22
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,180,9
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,180,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Formula1,Sport,Other,180,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,GoogleMaps,Navigation,Other,120,2
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,WhatsApp,Messenger,Communication ICT,120,8
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Health,Health / Wellbeing,Other,120,2
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,BeReal,Social Media,Social Media,120,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,MensaDarmstadt,Food,Other,60,5
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,app,ios,Discord,Messenger,Communication ICT,60,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,website,ios,tagesspiegel.de,News,Entertainment,360,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,website,ios,google.com,Web Browser / Search Machine ,Other,180,1
hwyr5z1l,2023-04-27 00:00:00+00:00,phone,website,ios,tiktok.com,Social Media,Social Media,60,1
hwyr5z1l,2023-04-27 00:00:00+00:00,tablet,app,ios,NotabilityUni,Study / Learning,Study / Work ICT,10380,5
hwyr5z1l,2023-04-27 00:00:00+00:00,tablet,app,ios,Jlaw,Study / Learning,Study / Work ICT,4620,1
hwyr5z1l,2023-04-27 00:00:00+00:00,tablet,app,ios,Safari,Web Browser / Search Machine ,Other,180,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Youtube,Video,Entertainment,2520,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Safari,Web Browser / Search Machine ,Other,2580,16
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Signal,Messenger,Communication ICT,960,9
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Imessage,Messenger,Communication ICT,900,13
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,FitnessFirst,Sport,Other,660,21
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,WarnWetter,News,Entertainment,540,20
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,mydealz,Shopping ,Entertainment,480,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Spotify,Music / Audio,Entertainment,420,14
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Snapchat,Social Media,Social Media,360,6
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Navigator(DBErsatz),Mobility,Other,300,14
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Mail,Mail,Communication ICT,240,7
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Whatsapp,Messenger,Communication ICT,180,3
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Discord,Messenger,Communication ICT,120,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Formula1,Sport,Other,120,3
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,BeReal,Social Media,Social Media,120,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Fotos,Photos,Entertainment,120,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Dateien,System,Other,60,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Fitness,Sport,Other,60,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Kurzbefehle,System,Other,60,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,tucan,Study / Learning,Study / Work ICT,60,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Telefon,System,Other,60,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Tutanota,Mail,Communication ICT,60,1
hwyr5z1l,2023-04-28 00:00:00+00:00,phone,app,ios,Wellpass,Sport,Other,60,1
